"","x","y","z","group","label","date"
"212",9.48470945504517,22.2061010741609,11048100000,"Equity","iShares MSCI EAFE Small-Cap ETF","2017/07"
"213",2.69285900984931,-2.5370435432799,12185700000,"Bond","iShares MBS ETF","2017/07"
"214",3.5082579854748,5.47006742391476,14786400000,"Bond","iShares iBoxx $ High Yield Corporate Bond ETF","2017/07"
"215",10.450757523873,20.1495287127431,12378100000,"Equity","Industrial Select Sector SPDR Fund","2017/07"
"216",2.64113849472216,-2.08763443912934,40389200000,"Bond","Vanguard Total International Bond Index Fund;ETF","2017/07"
"217",8.55043663038394,19.5325312735493,4.0041e+10,"Equity","iShares Russell 1000 Growth ETF","2017/07"
"218",0.928960001744156,-0.437420529138488,10728700000,"Bond","iShares 1-3 Year Credit Bond ETF","2017/07"
"219",14.1464664339906,20.2233524369023,3.7638e+10,"Equity","iShares Core S&P Small-Cap ETF","2017/07"
"220",8.28502044519472,15.9953124677625,19306900000,"Equity","iShares Russell 1000 ETF","2017/07"
"221",11.3486203323321,24.8743239737439,50930200000,"Equity","iShares Core MSCI Emerging Markets ETF","2017/07"
"222",11.6608859055764,25.8637071230966,42169900000,"Equity","iShares MSCI Emerging Markets ETF","2017/07"
"223",7.8019043572271,17.6951161105911,20922600000,"Equity","SPDR Dow Jones Industrial Average ETF Trust","2017/08"
"224",12.7319329293876,21.9272291240949,14009500000,"Equity","iShares MSCI Eurozone ETF","2017/08"
"225",8.54011981634827,13.131965855827,11599100000,"Equity","Schwab US Broad Market ETF","2017/08"
"226",15.1593027330635,17.3551382802229,26989199356,"Equity","Nikko Listed IDX Fund 225","2017/08"
"227",8.31749081482866,12.9990129991327,142638500000,"Equity","iShares Core S&P 500 ETF","2017/08"
"228",8.70312221404501,15.0421737498738,19794400000,"Equity","iShares S&P 500 Growth ETF","2017/08"
"229",9.08311767626037,10.9048038105282,14578600000,"Equity","Guggenheim Invest S&P 500 Eql Wght ETF","2017/08"
"230",11.5461298469689,27.8869077761672,1.8315e+10,"Equity","Vanguard Information Technology Index Fund;ETF","2017/08"
"231",8.24772920583305,13.1820644563638,11939300000,"Equity","Vanguard Large-Cap Index Fund;ETF","2017/08"
"232",15.1582669220211,17.3408983874935,53347814525.6,"Equity","Nomura Nikkei 225 ETF","2017/08"
"233",14.0249523629902,21.5413095162212,31245108624.8,"Equity","Nikko Listed IDX Fund TOPIX","2017/08"
"234",8.84714056434754,14.1201061912807,15334200000,"Equity","Schwab International Equity ETF","2017/08"
"235",8.70129910603104,13.0932260530528,13207100000,"Equity","iShares Core S&P Total US Stock Market ETF","2017/08"
"236",8.78455168459051,3.3117980408192,16139400000,"Equity","SPDR S&P Dividend ETF","2017/08"
"237",7.54712878773966,6.52314808620964,14105300000,"Equity","iShares Edge MSCI Min Vol USA ETF","2017/08"
"238",12.2923670271845,25.0929768505812,12764816952.1924,"Equity","Tracker Fund of Hong Kong","2017/08"
"239",9.05684575177694,13.707309639003,7.8401e+10,"Equity","iShares MSCI EAFE ETF","2017/08"
"240",8.0259588980097,8.01940224532549,20507100000,"Equity","Vanguard High Dividend Yield Index Fund;ETF","2017/08"
"241",10.2180359552497,8.03272485420283,10414200000,"Equity","iShares Russell Mid-Cap Value ETF","2017/08"
"242",8.96862079926034,9.39163856600953,35916900000,"Equity","iShares Russell 1000 Value ETF","2017/08"
"243",3.90960507097356,-1.03259780252072,24728600000,"Bond","iShares TIPS Bond ETF","2017/08"
"244",24.1921836729732,4.1905401427069,32094100000,"Equity","Financial Select Sector SPDR Fund","2017/08"
"245",14.026299496588,21.5498672734981,71368907131.2,"Equity","Nomura TOPIX ETF","2017/08"
"246",8.93012047210135,14.4593342204558,58828400000,"Equity","iShares Core MSCI EAFE ETF","2017/08"
